recno,Seq,Name,PapI,RSpec,Type,CHb,n_Ne-,Ne-,n_TOIII,TOIII,n_TNII,TNII,Excit,n_He,He,n_C,C,n_N,N,n_O,O,n_Ne,Ne,n_S,S,n_Ar,Ar,C/N,C/O,N/O,C+N,C+N+O
1,1,SMP_SMC_1,"    ",mea,n,0.02,*,5000," ",11100,:,11100,1.1," ",10.83," ",0.0," ",7.16," ",7.86," ",6.42,<,6.94,:,5.71,0.0,0.0,-0.7,7.16,7.94
2,2,SMP_SMC_2,"    ",mea,I,0.01," ",3000," ",16200,:,16200,6.3," ",11.1," ",0.0," ",7.47," ",8.01," ",7.21," ",7.32," ",5.78,0.0,0.0,-0.54,7.47,8.12
3,3,SMP_SMC_3,(P1),"   ",n,0.19," ",21500," ",13600,:,13600,2.7," ",10.94," ",8.77," ",7.0," ",7.98," ",7.0," ",6.76,:,5.49,1.76,0.79,-0.98,8.78,8.84
4,4,SMP_SMC_4,(P1),"   ",I,0.39," ",6100," ",15700,:,15700,3.1," ",11.04,<,6.55,:,7.33," ",7.83," ",6.89,+,7.34," ",5.44,-0.78,-1.28,-0.5,7.4,7.97
5,5,SMP_SMC_5,"    ",mea,I,0.0," ",3200," ",14500,:,14500,6.6," ",11.11," ",0.0,:,7.73,:,8.24,:,7.43,:,7.68,:,6.01,0.0,0.0,-0.51,7.73,8.36
6,6,SMP_SMC_6,(P1),"   ",i,0.64," ",11400," ",14400," ",15600,3.5," ",10.99,:,8.77,:,8.06," ",7.99," ",7.14," ",7.37," ",5.7,0.7,0.78,0.08,8.85,8.9
7,7,SMP_SMC_7,"    ",mea,n,0.03," ",1900," ",17900,:,17900,4.2," ",10.83," ",0.0," ",7.27," ",7.96," ",7.18," ",7.27," ",5.51,0.0,0.0,-0.69,7.27,8.04
8,8,SMP_SMC_8,"    ",mon,n,0.26,*,5000," ",13200,:,13200,2.8," ",10.91," ",0.0," ",0.0," ",7.98," ",6.96," ",0.0," ",5.07,0.0,0.0,0.0,0.0,0.0
9,9,SMP_SMC_9,(P1),"   ",n,0.0," ",2200," ",13700,~,13700,7.7,~,10.86," ",8.79,:,7.56," ",8.67," ",8.05,+,6.44," ",5.9,1.23,0.12,-1.11,8.82,9.05
10,10,SMP_SMC_10,(P1),"   ",n,0.26," ",1500," ",11300," ",11300,2.7," ",10.96,:,8.92," ",7.43," ",8.2," ",7.32," ",7.01," ",5.68,1.49,0.73,-0.76,8.94,9.01
11,11,SMP_SMC_11,"    ","   ",n,0.82," ",800,*,12000,*,12000,1.6,~,10.97," ",0.0," ",6.76," ",8.01,<,7.0," ",6.77,:,5.86,0.0,0.0,-1.25,6.76,8.04
12,12,SMP_SMC_12,"    ","   ",n,0.35,*,5000," ",13200,:,13200,2.6," ",11.01," ",0.0,:,7.16,+,7.95," ",6.89,<,7.82,:,5.1,0.0,0.0,-0.79,7.16,8.02
13,13,SMP_SMC_13,(P1),"   ",i,0.16," ",10700," ",12400,~,12400,3.6," ",10.95,:,8.64,:,7.58," ",8.17," ",7.1," ",7.19," ",5.62,1.06,0.47,-0.59,8.68,8.79
14,14,SMP_SMC_14,(P1),"   ",n,0.29," ",1900," ",13700,~,13700,6.5," ",10.92," ",9.16,:,7.51," ",8.31," ",7.4," ",7.34," ",5.63,1.65,0.85,-0.8,9.17,9.22
15,15,SMP_SMC_15,"    ",mea,I,0.04,*,5000," ",12000," ",16200,0.0," ",11.03," ",0.0,:,7.71,:,8.07,:,7.32,+,7.67,:,5.72,0.0,0.0,-0.37,7.71,8.23
16,16,SMP_SMC_16,"    ",mea,n,0.0,*,5000," ",11800,:,11800,0.8," ",10.69," ",0.0," ",6.55," ",7.85," ",6.37,<,6.39," ",5.46,0.0,0.0,-1.3,6.55,7.87
17,17,SMP_SMC_17,"    ",vas,I,0.0,*,5000," ",14800,:,14800,0.0," ",11.08," ",0.0,:,7.7,:,7.98,:,7.25,+,5.85,:,5.67,0.0,0.0,-0.28,7.7,8.17
18,18,SMP_SMC_18,"    ",mon,n,0.0,*,5000," ",10700,:,10700,1.3," ",10.9," ",0.0," ",6.84," ",8.1," ",7.37," ",0.0," ",5.86,0.0,0.0,-1.26,6.84,8.13
19,19,SMP_SMC_19,(P1),"   ",i,0.21," ",2300,*,12000,*,12000,6.6," ",10.94," ",8.97,:,7.91," ",8.42," ",7.5,+,6.23," ",5.77,1.06,0.54,-0.52,9.0,9.1
20,20,SMP_SMC_20,(P1),"   ",i,0.05,*,5000," ",12900,:,12900,1.9," ",10.95,:,8.36," ",7.65," ",7.83," ",6.74,<,7.56," ",5.21,0.71,0.53,-0.18,8.44,8.53
21,21,SMP_SMC_21,(P1),"   ",i,0.39," ",10200," ",24400," ",15700,6.5,~,11.0,<,7.04,:,7.91," ",7.56," ",6.82," ",7.05," ",5.58,-0.86,-0.51,0.35,7.96,8.11
22,22,SMP_SMC_22,(P1),"   ",I,0.43," ",1700," ",24700," ",12200,7.9," ",11.06," ",7.23,:,7.99," ",7.59," ",6.75," ",6.6," ",5.47,-0.76,-0.36,0.4,8.06,8.18
23,23,SMP_SMC_23,(P1),"   ",n,0.09,*,5000," ",12800,:,12800,3.6," ",10.95," ",8.39,:,7.27,+,8.12," ",7.28,<,7.32," ",5.56,1.12,0.26,-0.86,8.42,8.6
